Row,coelomocyte,endocrine,epithelium,excretory,germline,gland,glia,gonad,hypodermis,intestine,mesoderm,muscle,neuron,pharynx,seam,valve,vulva
RC00670,287.7502,230.7707,93.6207,130.9491,193.0387,76.0706,77.7366,187.331,205.1314,244.6708,154.0959,188.1488,371.6619,707.8333,106.2972,247.2291,245.4159
RM03291,2,13.833,10.9103,2,12.9165,5.3166,5.2929,16.0852,6.2068,24.061,6.9063,5.31,8.9543,8.1377,6.4121,5.0463,36.7737
RM03293,2,13.833,10.9103,2,12.9165,5.3166,5.2929,16.0852,6.2068,24.061,6.9063,5.31,8.9543,8.1377,6.4121,5.0463,36.7737
RM05051,35.29,32.5546,39.8371,24.4453,17.3747,21.2681,2.8817,29.9116,21.7939,5.4122,61.8384,54.5118,43.787,93.0652,5.0444,49.7412,41.2643
RMC0016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RM05052,173.4501,65.1092,222.2383,306.7887,165.7474,109.9734,133.4022,90.5882,142.6294,123.3354,168.8149,250.4873,93.6704,677.1448,89.2616,90.3434,117.3023
RC05052,69.5801,44.3875,202.7399,270.6208,71.9572,18.32,124.2484,82.175,65.7857,29.6793,188.4214,191.7985,133.6285,326.2971,323.5736,81.7276,54.0756
RC00669,39.29,20.7773,133.8114,98.7811,26.8329,25.2681,47.4941,24.2745,290.1052,177.0756,27.5691,20.9195,16.4248,72.5145,35.1492,65.9266,72.7172
RM01251,2,13.833,10.9103,2,12.9165,5.3166,5.2929,16.0852,6.2068,24.061,6.9063,5.31,8.9543,8.1377,6.4121,5.0463,36.7737
RC05050,26.86,504.9288,70.7302,97.7811,58.5824,47.1156,494.0145,60.7113,253.0464,211.3732,65.8196,148.7735,68.0789,169.7174,146.5353,93.8666,73.5474
RC04025,1,4.9443,141.5303,47.8906,1,2.8426,56.1952,2.4826,390.4354,7.6183,2.9625,5.3345,58.1246,215.8188,229.2037,13.1853,11.9812
RC01154,12.43,4.9443,8.0701,1,6.4582,4.3166,4.4497,12.1199,4.2453,47.3281,31.4192,6.4379,3.7095,19.413,5.2895,11.6621,11.9812
